,GeneNames,ColorR,ColorG,ColorB,napari_symbol
0,Snca,0,0,1,cross
1,Cplx2,0,0,1,disc
2,Lhx6,0,0,1,square
3,Col25a1,0,0,1,triangle_up
4,Pnoc,0,0,1,hbar
5,Rab3c,0,0,1,vbar
6,Gad1,0,0,1,star
7,Slc6a1,0,0,1,arrow
8,Th,0,0.7,1,cross
9,Crhbp,0,0.7,1,ring
10,Sst,0,0.7,1,clobber
11,Npy,0,0.7,1,disc
12,Synpr,0,0.7,1,x
13,Chodl,0,0.7,1,square
14,Cort,0,0.7,1,diamond
15,Reln,0,0.7,1,triangle_up
16,Serpini1,0,0.7,1,vbar
17,Satb1,0,0.7,1,hbar
18,Grin3a,0,0.7,1,star
19,Tac1,0.36,0.2,1,ring
20,Pvalb,0.36,0.2,1,clobber
21,Kcnip2,0.36,0.2,1,square
22,Thsd7a,0.36,0.2,1,diamond
23,Cox6a2,0.36,0.2,1,triangle_down
24,Chrm2,0.36,0.2,1,star
25,Id2,1,0,0.9,cross
26,Hapln1,1,0,0.9,ring
27,Gabrd,1,0,0.9,clobber
28,Cryab,1,0,0.9,x
29,Kit,1,0,0.9,square
30,Ndnf,1,0,0.9,diamond
31,Nos1,1,0,0.9,triangle_up
32,Lamp5,1,0,0.9,hbar
33,Cplx3,1,0,0.9,arrow
34,Cadps2,0.6,0.36,0,ring
35,Cxcl14,0.6,0.36,0,clobber
36,Ntng1,0.6,0.36,0,square
37,Cpne5,0.6,0.36,0,diamond
38,Rgs12,0.6,0.36,0,arrow
39,Sncg,1,0,0,ring
40,Cnr1,1,0,0,clobber
41,Cck,1,0,0,disc
42,Trp53i11,1,0,0,x
43,Sema3c,1,0,0,square
44,Syt6,1,0,0,triangle_up
45,Yjefn3,1,0,0,triangle_down
46,Rgs10,1,0,0,hbar
47,Nov,1,0,0,vbar
48,Kctd12,1,0,0,star
49,Slc17a8,1,0,0,arrow
50,Tac2,1,0.78,0,cross
51,Npy2r,1,0.78,0,ring
52,Calb2,1,0.78,0,clobber
53,Htr3a,1,0.78,0,disc
54,Slc5a7,1,0.78,0,x
55,Penk,1,0.78,0,square
56,Pthlh,1,0.78,0,triangle_up
57,Vip,1,0.78,0,triangle_down
58,Crh,1,0.78,0,hbar
59,Qrfpr,1,0.78,0,star
60,Zcchc12,0.588,0.7,0.56,cross
61,Calb1,0.588,0.7,0.56,clobber
62,Vsnl1,0.588,0.7,0.56,disc
63,Tmsb10,0.588,0.7,0.56,diamond
64,Rbp4,0.588,0.7,0.56,triangle_down
65,Fxyd6,0.588,0.7,0.56,triangle_up
66,6330403K07Rik,0.588,0.7,0.56,vbar
67,Scg2,0.588,0.7,0.56,hbar
68,Gap43,0.588,0.7,0.56,star
69,Nrsn1,0.588,0.7,0.56,arrow
70,Gda,0.25,0.5,0.35,cross
71,Bcl11b,0.25,0.5,0.35,ring
72,Rgs4,0.25,0.5,0.35,clobber
73,Slc24a2,0.25,0.5,0.35,disc
74,Lphn2,0.25,0.5,0.35,x
75,Map2,0.25,0.5,0.35,square
76,Prkca,0.25,0.5,0.35,diamond
77,Cdh13,0.25,0.5,0.35,triangle_up
78,Atp1b1,0.25,0.5,0.35,triangle_down
79,Pde1a,0.25,0.5,0.35,vbar
80,Calm2,0.25,0.5,0.35,hbar
81,Sema3e,0.25,0.5,0.35,arrow
82,Nrn1,0,1,0,clobber
83,Pcp4,0,1,0,disc
84,Rprm,0,1,0,cross
85,Enpp2,0,1,0,x
86,Rorb,0,1,0,ring
87,Rasgrf2,0,1,0,square
88,Wfs1,0,1,0,diamond
89,Fos,0,1,0,hbar
90,Plcxd2,0,1,0,triangle_down
91,Crym,0,1,0,vbar
92,3110035E14Rik,0,1,0,triangle_up
93,Foxp2,0,1,0,star
94,Pvrl3,0,1,0,arrow
95,Neurod6,0.266,0.7,0,cross
96,Nr4a2,0.266,0.7,0,ring
97,Cux2,0.266,0.7,0,clobber
98,Kcnk2,0.266,0.7,0,disc
99,Arpp21,0.266,0.7,0,square
100,Enc1,0.266,0.7,0,triangle_down
101,Fam19a1,0.266,0.7,0,hbar
102,Vim,1,1,1,clobber
103,Slc1a2,1,1,1,disc
104,Pax6,1,1,1,square
105,Plp1,1,1,1,x
106,Mal,1,1,1,cross
107,Aldoc,1,1,1,ring
108,Actb,1,1,1,triangle_down
109,Sulf2,1,1,1,star
110,Atp6v0d2,1,0.5,0.5,cross
111,Bin1,1,0.5,0.5,ring
112,Bin2,1,0.5,0.5,clobber
113,C1qa,1,0.5,0.5,x
114,C1qB,1,0.5,0.5,square
115,C1qC,1,0.5,0.5,diamond
116,Ccr5,1,0.5,0.5,triangle_up
117,Csf1r,1,0.5,0.5,triangle_down
118,Cx3cr1,1,0.5,0.5,vbar
119,Cyfip1,1,0.5,0.5,hbar
120,Grn,1,0.5,0.5,star
121,Laptm5,1,0.5,0.5,arrow
122,Olfml3,0.9,0.63,0.63,cross
123,P2ry12,0.9,0.63,0.63,ring
124,Plcg2,0.9,0.63,0.63,clobber
125,Pld3,0.9,0.63,0.63,x
126,Pld4,0.9,0.63,0.63,square
127,Ptk2b,0.9,0.63,0.63,diamond
128,Sparc,0.9,0.63,0.63,triangle_up
129,Tmem119,0.9,0.63,0.63,triangle_down
